"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"1525","A","lens-shaped","shape",,"Relatively thin with two round, convex, opposite broad faces intersecting acutely at the circumferential edge; like a double-convex lens.  See also disciform (discoid), meniscoid.","shape",
"1526","N","lenticel","structure",,"A specialized, anatomically distinct structure within the periderm of a stem, consisting of comparatively spongy, sometimes suberized tissue distinct from others of the periderm; extending radially through the periderm and visible as a circular to elongat","STRUCTURE",
"1526","A","lenticellate","texture","bark","Having lenticels",,
"1528","A","lenticular","shape",,"Relatively thin with two round, convex, opposite broad faces intersecting acutely at the circumferential edge; like a double-convex lens.  See also disciform (discoid), meniscoid.","shape",
"1529","A","lentiginose","coating",,"Covered with a more or less even deposit of minute, dry, macroscopically indistinguishable particles.  See also pulverulent (granuliferous, powdery), which is not clearly distinct in its application.","coating",
"1530","A","lentiginous","coating",,"Covered with a more or less even deposit of minute, dry, macroscopically indistinguishable particles.  See also pulverulent (granuliferous, powdery), which is not clearly distinct in its application.","coating",
"1531","A","lepidote","pubescence",,"Bearing lepides (squamae).  See also squamellose.","pubescence",
"1532","N","lepis","structure",,"A relatively thick, planate trichome.  See also squamella.","STRUCTURE",
"1533","N","lepides","structure",,"A relatively thick, planate trichome.  See also squamella.","STRUCTURE",
"1534","A","leptosporangiate","reproduction",,"Having relatively small sporangia each of which develops from a single initial cell that, by periclinal division, gives rise to an outer and an inner cell, the former then giving rise to the entire sporangium, including contents and sporangiophore, the la","reproduction",
"1535","A","levering","habit","trichome","Forming part of a pappus and reflexing at maturity, thus helping to loosen the individual fruit (cypsela) from the capitulum (head); in Asteraceae (Compositae).","habit",
"1536","N","liana","life-form","plant","Perennial with elongate ligneous stems that are  flexible at least initially and that climb upon trees and shrubs.","nominative",
"1537","A","lianous","habit","plant","Having elongate, ligneous stems that are flexible at least initially and that climb upon trees and shrubs.","habit",
"1538","N","lid","structure",,"A distal, cover-like portion of a structure whose main body is otherwise closed, transversely discontinuous with the main body around most of the circumference, or becoming partially or wholly separate by transverse dehiscence; as of a pitcher (ascidium),","STRUCTURE",
"1539","A","lidded","architecture",,"Having a lid (operculum).","architecture",
"1540","A","ligneous","texture",,"Of or resembling xylem (wood).","texture",
"1541","A","ligulate","architecture","structure","Having a ligule.","shape",
"1542","A","ligulate","architecture","floret","Bisexual with a zygomorphic corolla; in Asteraceae (Compositae).","shape",
"1543","N","ligule","structure",,"A strap-shaped enation from or distal portion of a structure.","STRUCTURE",
"1544","N","ligule","structure",,"An adaxial, distal enation from a leaf sheath, especially in most grasses (Poaceae) and sedges (Cyperaceae); usually unitary and membranous, sometimes instead consisting of a row of ciliate processes.  See also hastula.","STRUCTURE",
"1545","N","ligule","structure",,"A relatively small, attenuate, membranous, laminar enation from the adaxial surface of a leaf near its base; in Selaginella, Isoetes.","STRUCTURE",
"1546","N","ligule","structure",,"The distal, relatively flat portion of the zygomorphic corolla of a ligulate floret, terminating in 5 teeth or lobes; in Asteraceae (Compositae).","STRUCTURE",
"1547","A","liguliferous","architecture","structure","Having a ligule.","architecture",
"1548","A","liguliflorous","architecture","capitulum (head)","Bearing florets that all are bisexual and have zygomorphic corollas; in Asteraceae (Compositae).","architecture",
"1549","A","liguliform","shape",,"Elongate and relatively thin with the opposite faces more or less plane and moderately narrow, their edges more or less straight and parallel over most of their length; resembling a strap.","shape",
"1550","N","limb","structure",,"A relatively broad portion of a syntepalous (gamotepalous) perianth, synsepalous (gamosepalous) calyx, or sympetalous (gamopetalous) corolla distal to a narrower tube, spreading outward or ascending from the tube, comprising the distinct or connate distal","STRUCTURE",
"1551","N","limb","structure",,"The portion of the corolla of a bisexual or staminate disc floret distal to the level of filament insertion; in Asteraceae (Compositae).","STRUCTURE",
"1552","A","limp","texture",,"Lacking stiffness in in one or more dimensions, thus drooping or sagging where unsupported.","texture",
"1553","A","linear","arrangement","bundle scars","Disposed in a more or less straight line.","shape",
"1554","A","linear","shape",,"Elongate and narrow with the sides more or less straight and parallel over most of its length.","shape",
"1555","A","lineate","coloration",,"Having very narrow, straight, clear or colored lines that contrast with the ground color.","coloration",
"1556","A","lineate","relief",,"Having very narrow, straight, shallow depressions or low protrusions.  See also lineolate.","coloration",
"1557","A","lineolate","coloration",,"Finely lineate, the lines short and often irregularly oriented.","coloration",
"1558","A","lineolate","relief",,"Finely lineate, the depressions or protrusions short and often irregularly oriented.","coloration",
"1559","A","lingulate","shape",,"Broadly elongate and compressed, one broad face more or less plane and the other convex, the edges rounded between them; like a tongue.","shape",
"1560","N","lip","structure",,"Any substructure that resembles a lip, especially a portion of a perianth, calyx or corolla.","STRUCTURE",
"1561","N","lip_cell","structure",,"Either of a pair of adjacent, narrow, transversely oriented, thick-walled cells bordering the pore (stomium) of a sporangium.","STRUCTURE",
"1562","A","lipped","architecture","perianth, calyx, corolla","Strongly zygomorphic with connate and/or coherent members some or all of whose distal portions form one or two lip-like structures.","architecture",
"1563","A","lobate","shape",,"Having one or more component sectors or peripheral protrusions that is/are delimited by concavities in the surface or margin and that is/are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms s","shape",
"1564","A","_lobate","shape",,"Having the number of lobes indicated by the prefix; as in bilobate.","shape",
"1567","N","lobe","structure",,"Any generally convex, major peripheral protrusion or component sector that is delimited by concavities in the surface or margin and that is not proximally distinct from the remainder of the whole.","STRUCTURE",
"1568","A","lobed","shape",,"Having one or more component sectors or peripheral protrusions that is/are delimited by concavities in the surface or margin and that is/are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms s","shape",
"1568","A","lobed","shape","margin","Having one or more component sectors or peripheral protrusions that is/are delimited by concavities in the surface or margin and that is/are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms s","shape",
